log_date,user_id,user.type,payment
2013-06,1,existing,0.0
2013-06,2,existing,0.0
2013-06,3,existing,149940.0
2013-06,4,existing,0.0
2013-06,6,existing,0.0
2013-06,7,existing,0.0
2013-06,8,existing,0.0
2013-06,10,existing,0.0
2013-06,11,existing,19370.0
2013-06,15,existing,0.0
2013-06,17,existing,0.0
2013-06,18,existing,0.0
2013-06,19,existing,26330.0
2013-06,23,existing,0.0
2013-06,28,existing,0.0
2013-06,30,existing,0.0
2013-06,33,existing,0.0
2013-06,34,existing,0.0
2013-06,35,existing,88080.0
2013-06,37,existing,25720.0
2013-06,40,existing,0.0
2013-06,41,existing,0.0
2013-06,45,existing,0.0
2013-06,47,existing,0.0
2013-06,49,existing,0.0
2013-06,50,existing,0.0
2013-06,52,existing,0.0
2013-06,54,existing,0.0
2013-06,55,existing,0.0
2013-06,57,existing,0.0
2013-06,65,existing,0.0
2013-06,71,existing,131810.0
2013-06,73,existing,0.0
2013-06,75,existing,0.0
2013-06,78,existing,0.0
2013-06,79,existing,0.0
2013-06,81,existing,0.0
2013-06,84,existing,0.0
2013-06,89,existing,0.0
2013-06,92,existing,0.0
2013-06,94,existing,0.0
2013-06,98,existing,0.0
2013-06,101,existing,0.0
2013-06,105,existing,0.0
2013-06,106,existing,0.0
2013-06,109,existing,0.0
2013-06,110,existing,0.0
2013-06,113,existing,0.0
2013-06,116,existing,0.0
2013-06,117,existing,103870.0
2013-06,118,existing,0.0
2013-06,121,existing,0.0
2013-06,122,existing,0.0
2013-06,123,existing,0.0
2013-06,126,existing,0.0
2013-06,128,existing,22090.0
2013-06,129,existing,0.0
2013-06,130,existing,0.0
2013-06,133,existing,0.0
2013-06,137,existing,0.0
2013-06,139,existing,0.0
2013-06,141,existing,0.0
2013-06,142,existing,0.0
2013-06,144,existing,1620.0
2013-06,145,existing,0.0
2013-06,146,existing,8950.0
2013-06,149,existing,0.0
2013-06,151,existing,0.0
2013-06,152,existing,0.0
2013-06,154,existing,0.0
2013-06,155,existing,0.0
2013-06,157,existing,9720.0
2013-06,158,existing,0.0
2013-06,159,existing,13140.0
2013-06,160,existing,0.0
2013-06,164,existing,0.0
2013-06,166,existing,0.0
2013-06,170,existing,0.0
2013-06,171,existing,0.0
2013-06,172,existing,0.0
2013-06,173,existing,0.0
2013-06,174,existing,0.0
2013-06,175,existing,0.0
2013-06,178,existing,0.0
2013-06,181,existing,0.0
2013-06,182,existing,0.0
2013-06,183,existing,7330.0
